config,B,seg_recall_ponto,seg_recall_ic95_inf,seg_recall_ic95_sup,micro_f1_ponto,micro_f1_ic95_inf,micro_f1_ic95_sup
encadeado_qwen3-8b_llm_ner,10000,0.9856,0.9724,0.9936,0.5037,0.4775,0.5300
encadeado_qwen3-8b_ner_llm,10000,0.9846,0.9711,0.9924,0.4816,0.4553,0.5080
hibrido_qwen3-8b,10000,0.9856,0.9723,0.9936,0.4964,0.4706,0.5223
llm_gemma3-12b,10000,0.9699,0.9520,0.9774,0.7800,0.7383,0.8180
llm_llama3.1-8b,10000,0.9742,0.9582,0.9820,0.7876,0.7499,0.8211
llm_qwen3-8b,10000,0.9661,0.9476,0.9742,0.8257,0.7847,0.8616
ner_bertimbau,10000,0.8319,0.8004,0.9584,0.4828,0.4562,0.5095
ner_spacy,10000,0.9669,0.9485,0.9748,0.4695,0.4424,0.4965
presidio,10000,0.9669,0.9485,0.9748,0.4695,0.4424,0.4965
regex_only,10000,0.6516,0.5952,0.7516,0.3169,0.2825,0.3521
